Date	Computer	Client	Project	Minutes	Ticket	Message
Tue 22 Jul 06:07	enigma	VVelvary1		MAIASSS	VVelvary1	c	Merged develop into staging
Tue 22 Jul 06:17	enigma	VVelvary1		MAIASSS	VVelvary1	c	VEL-400 Updated documentation and added environment display utility; - docs: simplified and updated project documentation; - feat: exported getConfigPaths function in lib/config.js; - feat: added new file lib/env-display.js for environment display utility; - feat: integrated environment display utility in maiass.js
Tue 22 Jul 06:18	enigma	VVelvary1		MAIASSS	VVelvary1	c	Merged feature/VEL-400_initialbuild into develop
Tue 22 Jul 06:29	enigma	VVelvary1		MAIASSS	VVelvary1	c	VEL-400 Refactored environment variable display logic; - fix(lib): simplified display of MAIASS-specific variables; - fix(lib): removed additional relevant variables from MAIASS display; - fix(lib): adjusted displayAllEnvironmentVariables to show only MAIASS-prefixed vars
Tue 22 Jul 06:56	enigma	VVelvary1		MAIASSS	VVelvary1	c	VEL-400 Enhanced environment variable display and added new color options; - feat: added new color options in colors.js; - feat: improved environment variable display in env-display.js; - feat: added new file maiass-variables.js for managing MAIASS environment variables
Tue 22 Jul 06:56	enigma	VVelvary1		MAIASSS	VVelvary1	c	Merged feature/VEL-400_initialbuild into develop
Tue 22 Jul 06:56	enigma	VVelvary1		MAIASSS	VVelvary1	c	Merged develop into staging
Tue 22 Jul 07:06	enigma	VVelvary1		MAIASSS	VVelvary1	c	VEL-400 Improved visual presentation in terminal output; - feat: added symbols.js for Unicode/ASCII fallbacks; - refactor: integrated symbols into env-display.js for better readability; - refactor: rearranged colors.js for consistency
Tue 22 Jul 07:07	enigma	VVelvary1		MAIASSS	VVelvary1	c	Merged feature/VEL-400_initialbuild into develop
Tue 22 Jul 07:07	enigma	VVelvary1		MAIASSS	VVelvary1	c	Merged develop into staging
Tue 22 Jul 07:51	enigma	VVelvary1		MAIASSS	VVelvary1	c	VEL-402 Added Git information extraction and display utility; - feat: added a Git information utility in lib/git-info.js; - feat: integrated Git information utility in maiass.js; - feat: added Git info display and validation commands in CLI
Tue 22 Jul 07:51	enigma	VVelvary1		MAIASSS	VVelvary1	c	Merged feature/VEL-402_committhis into develop
Tue 22 Jul 08:13	enigma	VVelvary1		MAIASSS	VVelvary1	c	Merged feature/VEL-402_committhis into develop
Tue 22 Jul 08:52	enigma	VVelvary1		MAIASSS	VVelvary1	c	VEL-402 Added bash script for commit; - feat: added new committhis.sh bash script; - feat: implemented nma commit function in script
Tue 22 Jul 08:52	enigma	VVelvary1		MAIASSS	VVelvary1	c	Merged feature/VEL-402_committhis into develop
Sun 27 Jul 09:09	enigma	VVelvary		MAIASSS	VEL-405	c	VEL-405 Integrate devlog functionality and improve commit and merge logging;   - feat: added devlog functionality as a separate module;   - feat: implemented commit logging to devlog in 'commit.js' ;   - feat: introduced merge logging in 'maiass-pipeline.js' within 'handleMergeToDevelop' and 'handleVersionManagement';   - feat: created 'devlog.js' file with multiple utility functions for development logging
Sun 27 Jul 09:09	enigma	VVelvary		MAIASSS	Ddevops	c	Merged feature/VEL-405_changelog_fixes into develop
Sun 27 Jul 09:10	enigma	VVelvary		MAIASSS	Ddevops	c	Merged release/0.7.5 into develop
Sun 27 Jul 09:12	enigma	VVelvary		MAIASSS	VEL-405	c	VEL-405 Added debug message for devlog.sh command execution;   - feat: add debug message condition in devlog.js to show the executed command if MAIASS_DEBUG is set to true
Sun 27 Jul 09:15	enigma	VVelvary		MAIASSS	VEL-405	c	VEL-405 Modify devlog.js functionality;   - refactor: changed console output behavior within logThis function ;   - feat: added silent execution of command for cleaner log display
Sun 27 Jul 09:15	enigma	VVelvary		MAIASSS	VEL-405	c	VEL-405 Improved output capture in devlog;   - fix: replaced trim method in execSync command output capture in devlog.js;   - feat: added functionality for logging full command result, including errors
Sun 27 Jul 09:15	enigma	VVelvary		MAIASSS	Ddevops	c	Merged feature/VEL-405_changelog_fixes into develop
Sun 27 Jul 09:15	enigma	VVelvary		MAIASSS	Ddevops	c	Merged release/0.7.6 into develop
Sun 27 Jul 09:21	enigma	VVelvary		MAIASSS	VEL-405	c	VEL-405 Improve debug handling in devlog;   - feat: introduced condition for command execution during debug;   - refactor: reordered execSync command execution;   - fix(devlog): revised handling for both debug and non-debug scenarios
Sun 27 Jul 09:23	enigma	VVelvary		MAIASSS	VEL-405	c	VEL-405 Refined debugging messages in devlog.js;   - feat: added logging of messages to devlog.sh;   - fix: corrected the error and debug message handling;   - refactor: streamlined debug message print conditions
Sun 27 Jul 09:23	enigma	VVelvary		MAIASSS	Ddevops	c	Merged feature/VEL-405_changelog_fixes into develop
Sun 27 Jul 09:23	enigma	VVelvary		MAIASSS	Ddevops	c	Merged release/0.7.7 into develop
Sun 27 Jul 09:35	enigma	vsmash		nodemaiass	VEL-405	c	VEL-405 Refactor logging and merging operations; - refactor(devlog): switched execution from synchronous to asynchronous; - fix(commit): handleStagedCommit now passes along the entire gitInfo object; - refactor(devlog): replace default names with clearly outlined  attributes; - feat(devlog): extractDevlogContext to separate gitInfo context extraction logic; - feat(devlog): use extracted context in logCommit and logMerge functions; - refactor(maiass-pipeline): pass along originalGitInfo to logMerge function in handleMergeToDevelop method
Sun 27 Jul 09:36	enigma	vsmash		nodemaiass	VEL-405	c	Merged feature/VEL-405_changelog_fixes into develop
Sun 27 Jul 09:36	enigma	vsmash		nodemaiass	VEL-405	c	Merged release/0.7.8 into develop
Sun 27 Jul 09:47	enigma	vsmash		nodemaiass	VEL-405	0	VEL-405 Updated devlog.js to handle different parameters;   - fix: corrected second parameter in devlog.sh command
Sun 27 Jul 09:47	enigma	vsmash		nodemaiass	VEL-405	0	Merged feature/VEL-405_changelog_fixes into develop
Sun 27 Jul 09:47	enigma	vsmash		nodemaiass	VEL-405	0	Merged release/0.7.10 into develop
Sun 27 Jul 09:51	enigma	vsmash		nodemaiass	VEL-405	0	VEL-405 Refine devlog logs;   - refactor: remove extra log from devlog for cleaner output
Sun 27 Jul 09:51	enigma	vsmash		nodemaiass	VEL-405	0	Merged feature/VEL-405_changelog_fixes into develop
Sun 27 Jul 09:51	enigma	vsmash		nodemaiass	VEL-405	0	Merged release/0.7.11 into develop
Sun 27 Jul 12:13	enigma	vsmash		nodemaiass	VEL-405	?	VEL-405 Changed command option in devlog.js;   - fix: updated the second parameter from "0" to "?" in devlog.js command execution
Sun 27 Jul 12:13	enigma	vsmash		nodemaiass	VEL-405	?	Merged feature/VEL-405_changelog_fixes into develop
Sun 27 Jul 12:13	enigma	vsmash		nodemaiass	VEL-405	?	Merged release/0.7.12 into develop
Sun 27 Jul 13:45	enigma	vsmash		nodemaiass	MAI-7	?	MAI-7 Implemented cross-platform binary building and updated docs;   - feat(build): added cross-platform binary building script;   - feat(build): added compiled binaries for arm64 and x64;   - docs: added cross-platform build instructions and support info;   - refactor: replaced commonJS with ES modules for pkg compatibility;   - refactor: updated scripts to use the new entry point
Sun 27 Jul 14:32	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated project files for latest release and improved DX ;   - docs: added installation-guide, node-compatibility, and shipping-node-options;   - feat: created a new home-brew setup markdown file;   - feat: added a new release template markdown file;   - feat: created a new development installation shell script;   - feat: added .gitignore entries for node_modules, cache files, OS generated files, build artifacts and binaries;   - docs: created a new home-brew formula for MAIASS;   - docs: added installation guide for manual and automatic installation methods. Also explained compatibility issues and potential solutions.
Sun 27 Jul 14:51	enigma	vsmash		maiass	MAI-7	?	MAI-7 Implemented GitHub Actions for testing and release automation;   - feat: added GitHub Actions workflow for cross-platform build and release;   - feat: added GitHub Actions workflow for running tests across multiple Node.js versions;   - feat: implemented automated binary creation for multiple platforms;   - feat: created GitHub Release through Actions with included checksums for binary verification;   - feat: added workflows that trigger on pushes to main, develop, feature branches and pull request
Sun 27 Jul 15:01	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated script and version;   - feat: added handling for new argument types in 'version' command;   - fix: corrected positional arguments array writing in 'version' command;   - chore: updated package version to "0.8.0"
Sun 27 Jul 15:08	enigma	vsmash		maiass	MAI-7	?	MAI-7 Expanded CLI functionality for MAIASS workflow;   - feat: added version bump functionality ('major', 'minor', 'patch') for MAIASS workflow;   - feat: added several new flags for CLI including '--dry-run', '--commits-only', '--force', and '--silent';   - refactor(cli): made improvements to help text for better usability;   - fix(node-execution): updated node execution from cjs to mjs in nodemaiass.sh;   - refactor(code-tidy): cleaned up argument handling in NodeJS command switch case
Sun 27 Jul 15:08	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Sun 27 Jul 15:08	enigma	vsmash		maiass	MAI-7	?	Merged release/0.9.0 into develop
Sun 27 Jul 15:08	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Sun 27 Jul 15:08	enigma	vsmash		maiass	MAI-7	?	Merged release/0.9.1 into develop
Sun 27 Jul 15:14	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated GitHub release workflow triggers;   - fix(workflow): change release trigger condition to main branch update or workflow dispatch event
Sun 27 Jul 15:14	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Sun 27 Jul 15:14	enigma	vsmash		maiass	MAI-7	?	Merged release/0.9.2 into develop
Sun 27 Jul 15:37	enigma	vsmash		maiass	MAI-7	?	MAI-7 Update create-release.sh script and enhance branching flows;   - feat: add current branch detection ;   - feat: add options for merging branches ;   - feat: improve branch-switching handling in script;   - fix: improve error handling for invalid user choice
Sun 27 Jul 15:37	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Sun 27 Jul 15:37	enigma	vsmash		maiass	MAI-7	?	Merged release/0.9.3 into develop
Sun 27 Jul 15:44	enigma	vsmash		maiass	MAI-7	?	MAI-7 Improved git release workflow;   - feat: added write permissions for creating releases;   - feat: extended checkout action for fetching all history and tags;   - feat: enhanced mechanism for getting latest git tag with default value set when no tags found
Sun 27 Jul 15:44	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Sun 27 Jul 15:44	enigma	vsmash		maiass	MAI-7	?	Merged release/0.9.4 into develop
Sun 27 Jul 15:52	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated test scripts to use .mjs node files;   - fix: change reference from maiass.js to maiass.mjs in debug-git-test.js;   - fix: modify path to maiass.mjs in test-runner.js
Sun 27 Jul 15:52	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Sun 27 Jul 15:52	enigma	vsmash		maiass	MAI-7	?	Merged release/0.9.5 into develop
Sun 27 Jul 16:02	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated files to utilize common JS execution;   - fix: replaced 'maiass.mjs' with 'maiass.cjs' in debug-git-test.js;   - fix: changed file path for 'maiass.mjs' to 'maiass.cjs' in test-runner.js
Sun 27 Jul 16:02	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Sun 27 Jul 16:02	enigma	vsmash		maiass	MAI-7	?	Merged release/0.9.6 into develop
Mon 28 Jul 06:11	enigma	vsmash		maiass	MAI-7	?	MAI-7 Enhanced Wordpress Integration and Debugging Information;   - feat: expanded WordPress plugin and theme management functionality;   - feat: added methods for updating version in WordPress theme style.css and PHP version constant;   - feat: implemented version constant generator based on file path for WordPress plugins and themes;   - feat: incorporated automatic generation of constants in WordPress update process;   - feat: Implemented dry run mode for WordPress updates previewing;   - feat: included expanded debugging information in configuration load and WordPress update functions;   - fix: corrected list format in create-release.sh script;   - docs: extensive descriptions and usage examples in workflow.md;   - docs: provided configuration metro information for WordPress plugin/theme management in configuration.md
Mon 28 Jul 06:12	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 06:12	enigma	vsmash		maiass	MAI-7	?	Merged release/0.9.7 into develop
Mon 28 Jul 10:26	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated codebase and documentation for rebranding;   - refactor: changed name of the tool from MAIASS to MAIASS across the project ;   - docs: updated documentation for renaming to MAIASS;   - feat: added 'devmyass' script for executing local development version;   - feat: added logger.js for centralized logging with consistent branding;   - fix: updated git-info display to use centralized logger;   - chore: updated .gitignore to ignore MAIASS related files;   - refactor: improved environment variable and configuration display and edits to use centralized logger;   - delete: removed unused README.committhis.md document
Mon 28 Jul 10:26	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 10:26	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.1 into develop
Mon 28 Jul 10:37	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated logging systems in maiass and removed unnecessary logs;   - refactor(maiass): replace console.log with the logger system for better output control;   - refactor(maiass): change user prompts to use the logger system instead of console.log;   - fix(maiass): correct comment typo on commit functionality script;   - fix(maiass): remove unnecessary log commenting on ES module import success;   - style(maiass): remove excess white spaces in commitThis function
Mon 28 Jul 10:37	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 10:37	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.2 into develop
Mon 28 Jul 11:35	enigma	vsmash		maiass	no-ticket	?	Updated message in maiass-command.js;   - fix: corrected application name in thank you message
Mon 28 Jul 11:35	enigma	vsmash		maiass	no-ticket	?	Merged release/1.0.3 into develop
Mon 28 Jul 11:38	enigma	vsmash		maiass	no-ticket	?	Updated logger functionality;   - feat: added bold parameter to logger methods;   - fix: updated color selection based on boldness
Mon 28 Jul 11:38	enigma	vsmash		maiass	no-ticket	?	Merged release/1.0.4 into develop
Mon 28 Jul 12:31	enigma	vsmash		maiass	MAI-7	?	MAI-7 Added new color to colors.js;   - feat: added bold lime color function to colors.js
Mon 28 Jul 12:31	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 12:31	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.5 into develop
Mon 28 Jul 12:33	enigma	vsmash		maiass	MAI-7	?	MAI-7 Improved logging in commit.js;   - fix: updated logging call for aiSuggestion
Mon 28 Jul 12:35	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated logger functionality;   - feat: added aisuggestion method to logger.js
Mon 28 Jul 12:35	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated style and behavior of logger;   - style(logger): changed text color to bright yellow;   - refactor(logger): removed MAIASS_PREFIX from aisuggestion log method
Mon 28 Jul 12:36	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 12:36	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.6 into develop
Mon 28 Jul 12:45	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated logging in maiass.mjs;   - feat: imported logger from './lib/logger.js';   - refactor: replaced console.log with logger.header for displaying version;   - chore: added a blue colored horizontal line for better UI
Mon 28 Jul 12:46	enigma	vsmash		maiass	MAI-7	?	MAI-7 Refactor log method in commit.js;   - refactor: changed log.info to log.aisuggestion in commit.js
Mon 28 Jul 12:46	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 12:46	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.7 into develop
Mon 28 Jul 12:54	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated documentation and code to reflect changes in project name;   - docs: Updated README, documentation, and scripts to change name to "Semantic Scribe";   - refactor: Updated JavaScript files to change project name display to "Semantic Scribe";   - feat: Added new symbol 'maiassdot' in symbols.js;   - refactor: Removed logger.header line in maiass.mjs;   - fix: Updated project description in package.json
Mon 28 Jul 12:56	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated logger and main packages;   - refactor: Changed log.info to log.aisuggestion in commit.js;   - feat: Imported logger from './lib/logger.js';   - refactor: Replaced console.log with logger.header in maiass.mjs file;   - style: Changed text color to bright yellow in logger;   - refactor: Removed MAIASS_PREFIX from aisuggestion log method;   - feat: Added aisuggestion method to logger.js;   - fix: Updated logging call for aiSuggestion;   - feat: Added bold lime color function to colors.js;   - refactor: Version and description update in package.json
Mon 28 Jul 12:56	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 12:56	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.8 into develop
Mon 28 Jul 13:06	enigma	vsmash		maiass	MAI-7	?	MAI-7 Replace console logs with logger in maiass-pipeline and version-manager files;   - refactor(maiass-pipeline): replaced console.log with logger;   - refactor(version-manager): switched console.log to logger.info;   - style: changed symbol to GEAR for branch switch message in maiass-pipeline
Mon 28 Jul 13:16	enigma	vsmash		maiass	MAI-7	?	MAI-7 Standardize logging syntax and improve logging statements;   - refactor: standardize logger method calls with two arguments syntax ;   - refactor: moved logging statements to appropriate points in functions;   - fix: updated incorrect logger to log calls;   - refactor: removed unnecessary info loggings
Mon 28 Jul 13:16	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 13:16	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.10 into develop
Mon 28 Jul 13:20	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated logging in maiass-pipeline.js;   - refactor: replaced console.log with logger for better debuguity;   - refactor: replaced console.error with logger.error for better error tracking;   - refactor: replaced console.success with logger.success for improved success message tracking;   - refactor: refined logger messages;   - refactor: streamlined calls to use git commands through logger functionality
Mon 28 Jul 13:20	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 13:20	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.11 into develop
Mon 28 Jul 13:22	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated logging in maiass-pipeline.js;   - feat: replaced console.log with a logger;   - feat: started logging current branch and version information;   - fix: replaced console.error with logger for error handling
Mon 28 Jul 13:46	enigma	vsmash		maiass	MAI-7	?	MAI-7 Refactored logging framework for enhanced error management;   - feat(logger.js): added a debugging method to logger;   - feat(devlog.js, version-manager.js): replaced console.log with custom logger methods;   - fix(version-manager.js): managed exceptions for file reading/navigating errors
Mon 28 Jul 13:46	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 13:46	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.12 into develop
Mon 28 Jul 13:50	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated logging functionality and error handling;   - refactor: replaced SYMBOLS.INFO with SYMBOLS.GEAR in logging messages;   - feat: incorporated error handling using logger instead of console.error;   - refactor: updated all console.log statements to use the logger module;   - feat: added more descriptive log messages for git operations
Mon 28 Jul 13:50	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 13:51	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.13 into develop
Mon 28 Jul 13:51	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated logger symbol in pipeline;   - refactor: changed logger symbol from INFO to GEAR in maiass-pipeline.js
Mon 28 Jul 13:51	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 13:52	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.14 into develop
Mon 28 Jul 13:58	enigma	vsmash		maiass	MAI-7	?	MAI-7 Improved logging output symbolism;   - feat: introduced distinct symbols for different logging operations;   - refactor: replaced standard logging symbols with detailed ones for merging, pulling and pushing actions
Mon 28 Jul 14:01	enigma	vsmash		maiass	MAI-7	?	MAI-7 Implemented AI symbol and updated AI message identifier;   - feat(symbols): added new 'brain' symbol for AI ;   - refactor(commit): changed AI suggestion message symbol from 'INFO' to 'BRAIN'
Mon 28 Jul 14:01	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 14:01	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.15 into develop
Mon 28 Jul 14:09	enigma	vsmash		maiass	MAI-7	?	MAI-7 Removed unused binary build files and tweaked logging in maiass-pipeline.js;   - chore: deleted maiass-arm64 build file;   - chore: deleted maiass-x64 build file;   - refactor: remove redundant logging line in validateAndHandleBranching;   - style: changed logger output color to blue for 'Phase 1: Branch Detection and Validation' message
Mon 28 Jul 14:10	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Mon 28 Jul 14:10	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.16 into develop
Tue 29 Jul 13:31	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated pertinently the logger, refined API interaction, and more ;   - feat: Revamped logger for better debugging ;   - feat: Altered handling of requests to API with enhanced timeouts, error handling, and logging;   - fix: Directed error feedback to match with the new Logger usage replacing previous console errors;   - chore: Removed compatibility with pkg from CommonJs;   - fix: Broadened error notifications for AI suggestion failures. Added stack if available and specific error handling for common network issues.
Thu 31 Jul 00:18	enigma	vsmash		maiass	no-ticket	?	Improved debug mode and enhanced documentation;   - fix: updated context title in .windsurf;   - docs: added explanation for Debug Mode Token Validation in README;   - feat: introduced new token-validator.js for debugging API tokens;   - feat: integrated token-validator in main application (maiass.mjs)
Thu 31 Jul 00:18	enigma	vsmash		maiass	no-ticket	?	Merged release/1.0.17 into develop
Thu 31 Jul 01:09	enigma	vsmash		maiass	no-ticket	?	Refactored code related to user prompts and session usage;   - feat: introduced enhanced credit display;   - feat: added warning before every AI suggestion;   - fix: improved Ctrl+C handling in raw and readline interfaces;   - feat: added AI usage breakdown details;   - feat: added low credit warning
Thu 31 Jul 01:09	enigma	vsmash		maiass	no-ticket	?	Merged release/1.0.18 into develop
Thu 31 Jul 08:40	enigma	vsmash		maiass	no-ticket	?	Refined commit messaging and added new color functions;   - feat: added new color functions in colors.js;   - fix: improved token counting mechanism in commit.js;   - feat: added blueOnWhite logging property in logger.js;   - style: modified how log messages are presented in commit.js
Thu 31 Jul 08:42	enigma	vsmash		maiass	no-ticket	?	Merged release/1.0.19 into develop
Thu 31 Jul 08:42	enigma	vsmash		maiass	no-ticket	?	Merged release/1.0.20 into develop
Thu 31 Jul 08:42	enigma	vsmash		maiass	no-ticket	?	Merged release/1.0.21 into develop
Thu 31 Jul 08:45	enigma	vsmash		maiass	MAI-7	?	MAI-7 Improved MAIASS functionalities and user experience;   - feat: added new color functions  and  in colors.js ;   - refact: removed redundant logic and enhanced error messages related to AI API request in commit.js;   - feat: added credit usage breakdown with details in commit.js ;   - chore: updated project context title in .windsurf;   - docs: added 'Debug Mode Token Validation' section in README.maiass.md ;   - feat: created new file CREDIT_IMPROVEMENTS.md outlining credit display enhancements and other safety features
Thu 31 Jul 08:46	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Thu 31 Jul 08:46	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.22 into develop
Fri 01 Aug 15:36	enigma	vsmash		maiass	MAI-7	?	MAI-7 Enhanced AI key management and added machine fingerprinting;   - feat: Added functionality to auto-create anonymous subscriptions if no API key exists;   - feat: Added new module for generating a unique machine fingerprint for abuse prevention;   - refactor: Updated API requests to include the machine fingerprint;   - test: Created test file for credit display functionality
Fri 01 Aug 15:36	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Fri 01 Aug 15:36	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.23 into develop
Fri 01 Aug 15:44	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated install script;   - fix: corrected repository path in install.sh;   - feat: updated binary name in install.sh
Fri 01 Aug 15:44	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Fri 01 Aug 15:44	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.24 into develop
Fri 01 Aug 15:52	enigma	vsmash		maiass	MAI-7	?	MAI-7 Improved application naming and documentation;   - refactor: renamed maiass.mjs to maiass.mjs;   - docs: updated command references in cross-platform documentation;   - docs: updated command references in node compatibility documentation;   - build: modified references in package.json script section and pkg property;   - refactor: removed maiass.mjs file from the project
Fri 01 Aug 15:53	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Fri 01 Aug 15:53	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.25 into develop
Fri 01 Aug 16:10	enigma	vsmash		maiass	MAI-7	?	MAI-7 Refined logging and prompting capabilities, added new config options;   - feat(lib): introduced 'critical' and 'prompt' log levels;   - feat(lib): added shouldLog function based on verbosity in logger.js;   - refactor(lib): replaced certain log.info calls with log.critical in commit.js;   - refactor(lib): changed MAIASS_PREFIX icon in logger.js;   - feat(lib): added 'autoSwitch' variable to control version mgmt in maiass-pipeline.js;   - feat(lib): introduced new symbol 'maiassass' in symbols.js;   - feat: added new command line options '--commits-only, -c' and '--auto-stage, -a' in maiass.mjs;   -
Fri 01 Aug 16:16	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated color configurations and trimming functions;   - feat(lib/colors.js): add BSoftPink and SoftPink color definitions;   - fix(lib/commit.js): trim whitespace from edited and AI suggested commit messages;   - refactor(lib/logger.js): changed MAIASS branding color to BSoftPink and modified log settings
Fri 01 Aug 16:18	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated logging methods in maiass-pipeline.js;   - fix(code): replaced logger.White with logger.log.BWhite for currentBranch output
Fri 01 Aug 16:21	enigma	vsmash		maiass	MAI-7	?	MAI-7 Updated logger functionality and streamlined pipeline code;   - feat: added BWhite logging method in logger.js;   - refactor: simplified logger usage in maiass-pipeline.js
Fri 01 Aug 16:21	enigma	vsmash		maiass	MAI-7	?	Merged feature/MAI-7_node_packaging into develop
Fri 01 Aug 16:21	enigma	vsmash		maiass	MAI-7	?	Merged release/1.0.26 into develop
